State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0.918,91.8,4.257371,4.221048,4.293694,1.367747843
0.92,92,4.2593525,4.223168,4.295537,1.335144843
0.922,92.2,4.261933,4.225807,4.298059,1.297081843
0.924,92.4,4.264377,4.228222,4.300532,1.264437843
0.926,92.6,4.2668715,4.230365,4.303378,1.231774843
0.928,92.8,4.2694825,4.232653,4.306312,1.199095843
0.93,93,4.2718735,4.235011,4.308736,1.166394843
0.932,93.2,4.274385,4.237289,4.311481,1.133677843
0.934,93.4,4.2768015,4.239493,4.31411,1.100942843
0.936,93.6,4.2788855,4.241747,4.316024,1.068185843
